Frame Count, Hist. Correlation, Time per frame FPGA, Time per frame OpenCV 
466,99.9475,342.007,0.363742
467,99.9477,340.001,0.330782
468,99.9459,340.01,0.396062
469,99.9464,342.002,0.328011
470,99.9479,339.994,0.287911
471,99.9484,338.008,0.292132
472,99.9462,337.997,0.282341
473,99.9521,335.976,0.326622
474,99.94,342.007,0.284561
475,99.942,339.996,0.283131
476,99.942,338.007,0.284242
477,99.9398,336.006,0.325122
478,99.9399,340.001,0.280341
479,99.9404,338.005,0.322142
480,99.9415,338.007,0.320702
481,99.9403,341.974,0.386692
482,99.9533,342.011,0.421573
483,99.9399,341.985,0.325401
484,99.9353,338.003,0.246141
485,99.9431,336.011,0.289581
486,99.9416,339.998,0.322112
487,99.9428,340.005,0.325872
488,99.9427,338.006,0.283001
489,99.9484,338.002,0.286312
490,99.9499,337.964,0.245701
491,99.9515,338.009,0.286101
492,99.9449,340.006,0.277211
493,99.9437,337.997,0.278512
494,99.9441,338.006,0.247001
495,99.9442,340.007,0.276351
496,99.9433,340.007,0.322472
497,99.9433,340.001,0.284992
498,99.9444,339.968,0.271302
499,99.9452,338.005,0.325782
500,99.9453,342,0.260172
501,99.9456,338.007,0.285631
502,99.9457,337.997,0.280001
503,99.9452,340.016,0.284661
504,99.9457,337.996,0.325802
505,99.9457,339.973,0.319582
506,99.9457,342.038,0.331852
507,99.9483,341.963,0.283361
508,99.9504,336.013,0.271922
509,99.9501,339.994,0.283261
510,99.9491,338.01,0.333001
511,99.9498,340.008,0.329112
512,99.9485,339.994,0.333332
513,99.9499,336.017,0.389232
514,99.9526,338.003,0.591773
515,99.9476,335.958,0.251531
516,99.9493,336.005,0.278662
517,99.9433,338.01,0.288052
518,99.9429,340.052,0.398983
519,99.9452,341.957,0.284421
520,99.9337,335.966,0.320622
521,99.9493,342.011,0.322362
522,99.9504,342.037,0.319512
523,99.9499,337.964,0.320612
524,99.9525,338.005,0.264712
525,99.954,337.996,0.273572
526,99.9555,340.013,0.336172
527,99.9558,338.015,0.376192
528,99.9528,341.986,0.286092
529,99.9532,338.016,0.341912
530,99.9534,339.996,0.374872
531,99.9541,337.996,0.275472
532,99.9539,337.975,0.573313
533,99.9536,338.002,0.276872
534,99.9546,336.009,0.311622
535,99.952,340.017,0.465983
536,99.9531,341.993,0.316202
537,99.9516,337.999,0.315952
538,99.9535,344.005,0.316511
539,99.9633,343.995,0.345812
540,99.9285,337.979,0.326232
541,99.9403,341.994,0.324042
542,99.9393,340.023,0.391163
543,99.94,343.982,0.324952
544,99.9386,340.01,0.325892
545,99.9396,341.989,0.279951
546,99.9416,338.009,0.288952
547,99.9398,336.006,0.346962
548,99.9379,340.007,0.326242
549,99.9391,341.999,0.282752
550,99.9399,339.966,0.282672
551,99.9398,342.017,0.341302
552,99.9403,341.997,0.389873
553,99.9387,342.012,0.399213
554,99.9393,343.987,0.323662
555,99.9393,340.005,0.279582
556,99.9407,339.998,0.325442
557,99.9403,340.004,0.326202
558,99.9393,340.004,0.245642
559,99.9403,336,0.286622
560,99.9406,338.006,0.277971
561,99.9379,339.977,0.289802
562,99.9411,341.997,0.327892
563,99.9427,338.007,0.328872
564,99.9418,338.001,0.291002
565,99.9426,340.008,0.325492
566,99.9389,338.004,0.333762
567,99.9404,339.997,0.280332
568,99.9388,340.008,0.286972
569,99.9411,337.99,0.343042
570,99.9408,339.981,0.292252
571,99.9403,338.007,0.431453
572,99.9387,338.01,0.322972
573,99.939,338.003,0.330842
574,99.9395,339.996,0.289782
575,99.9399,338.01,0.330322
576,99.9382,341.999,0.329972
577,99.9417,338.002,0.282262
578,99.9391,339.969,0.281871
579,99.9393,340.018,0.331792
580,99.939,339.991,0.284302
581,99.9385,338.007,0.288681
582,99.939,338.003,0.329062
583,99.9395,342.01,0.410822
584,99.9372,341.997,0.324902
585,99.9374,342.016,0.427573
586,99.9389,339.99,0.327002
587,99.9401,341.972,0.389392
588,99.9401,340,0.331992
589,99.9434,340,0.288862
590,99.948,336.01,0.330032
591,99.9448,340.011,0.397442
